type;i;n2;M2;P1;Fr1;Fr2;weight
FRO;180.0;7.64;790.0;0.67;5790.0;14710.0;39.1867720714469
SRO;51.9;27.0;300.0;1.0;3000.0;6450.0;9.383621140558336
FRV;14.0;100.9;515.0;5.8;5630.0;7190.0;24.154684212135372
FRN;28.0;50.8;1670.0;9.3;3370.0;8090.0;61.848451666974725
FRN;125.0;11.3;220.0;0.28;1390.0;6700.0;8.769105472535752
RD;160.0;9.0;2300.0;2.8;2100.0;12300.0;72.17363458123815
FRO;40.0;33.6;1700.0;6.4;8330.0;8510.0;69.17770007757399
FRN;33.0;42.4;160.0;0.74;1230.0;4290.0;5.584956358515409
FRO;160.0;8.94;260.0;0.26;3000.0;6200.0;8.877181892973923
FRN;12.5;114.0;230.0;2.9;3000.0;4140.0;7.1271765443135315
FRV;71.0;20.4;580.0;1.3;5740.0;5500.0;14.957658598673515
RD;31.5;45.0;400.0;1.68;1210.0;4700.0;14.401367229198044
RD;8.0;175.0;620.0;12.3;1070.0;3500.0;25.90074922881069
FRV;6.3;215.9;930.0;22.4;8200.0;8020.0;68.31804198821338
FRO;63.0;21.5;310.0;0.74;3000.0;4930.0;10.062500457396833
FRO;18.0;80.8;510.0;4.6;5680.0;5460.0;17.22052380834365
FRO;31.5;44.0;2860.0;14.0;8360.0;11540.0;115.48878180526782
FRV;25.0;51.9;1670.0;9.7;8360.0;8140.0;68.14288404574415
RD;63.0;22.0;95.0;0.23;270.0;1700.0;4.718019203816951
RD;35.5;40.0;35.0;0.16;638.0;1430.0;1.1201511828357091
RD;12.5;115.0;1190.0;14.8;780.0;6900.0;42.45924143580402
FRV;25.0;52.4;560.0;3.3;5730.0;5130.0;15.02166277322576
FRO;315.0;4.45;1330.0;0.66;8360.0;19100.0;68.86026911471662
FRV;6.3;212.1;470.0;11.1;5670.0;5570.0;26.65419668214679
FRN;25.0;57.8;240.0;1.5;3000.0;4970.0;6.60814529933576
RD;160.0;9.0;425.0;0.4;850.0;4700.0;15.508321456684884
FRN;28.0;49.5;890.0;4.8;2450.0;8920.0;35.79227315321753
RD;7.1;196.0;54.0;1.2;20.0;1750.0;4.660840727420528
FRO;125.0;11.7;1790.0;2.3;8360.0;7200.0;69.18106287102523
FRV;20.0;73.1;170.0;1.4;1610.0;3670.0;5.914884228285242
RD;25.0;55.0;95.0;0.56;75.0;2000.0;5.56409922204595
RD;20.0;70.0;190.0;1.42;40.0;2400.0;8.920800064873536
FRN;224.0;6.11;1350.0;0.92;4830.0;19100.0;70.72421061407562
FRO;180.0;7.35;2730.0;2.2;8360.0;19400.0;117.13209732597582
FRN;71.0;19.4;3400.0;7.3;3670.0;7800.0;111.90236700492997
FRN;160.0;8.92;3300.0;3.3;4330.0;7900.0;111.75323225987734
FRN;45.0;30.9;750.0;2.5;2900.0;10720.0;32.680400895373616
SRO;8.7;160.2;180.0;3.2;1580.0;2700.0;6.294718781315471
FRO;20.0;68.1;310.0;2.4;3000.0;3720.0;10.214034487354471
SRO;27.1;51.6;110.0;0.6;1300.0;3700.0;3.559171623789336
FRN;45.0;31.3;270.0;0.94;1070.0;5070.0;9.954223949760621
RD;16.0;90.0;185.0;1.78;40.0;2300.0;8.69385068240737
SRO;8.6;163.2;110.0;2.0;1250.0;2200.0;3.4123839635437
FRN;7.1;195.0;430.0;9.2;1890.0;5180.0;23.908408078516565
FRO;12.5;106.3;1400.0;16.6;8350.0;10050.0;78.84978618845923
FRN;31.5;46.6;1590.0;8.1;3370.0;9610.0;60.42761938956728
SRO;18.0;77.6;110.0;1.0;1300.0;3100.0;3.346102941807228
FRO;140.0;10.0;1790.0;2.0;8360.0;7200.0;68.64242448170941
FRN;40.0;37.6;1650.0;6.9;3470.0;9220.0;61.088688999158855
FRO;22.4;60.0;170.0;1.1;1610.0;3820.0;7.4388660025399105
FRV;50.0;27.3;980.0;3.0;5780.0;9720.0;39.46912669605246
FRV;18.0;80.8;510.0;4.6;5680.0;5460.0;15.610963624175344
FRN;8.0;176.0;130.0;2.5;1100.0;3470.0;6.593329523341264
FRV;90.0;15.5;3360.0;5.8;8340.0;11400.0;120.21840817768155
FRN;8.0;179.0;220.0;4.4;2900.0;3530.0;7.874417907998499
FRN;40.0;35.2;240.0;0.94;3000.0;5380.0;6.04568272105837
FRV;16.0;86.4;730.0;7.0;5780.0;7420.0;32.74226795523532
FRN;90.0;15.3;3400.0;5.8;3030.0;7800.0;110.09694802431605
FRO;90.0;15.5;3360.0;5.8;8340.0;11400.0;121.82796836184986
FRO;224.0;5.87;260.0;0.17;3000.0;6200.0;8.717067149687601
FRO;20.0;73.3;390.0;3.2;5730.0;7310.0;16.3065954353243
FRO;12.5;105.4;670.0;7.9;5780.0;6950.0;32.37903816625074
FRO;71.0;20.4;580.0;1.3;5740.0;5500.0;16.56721878284182
SRO;21.8;64.4;110.0;0.8;1300.0;3400.0;3.46190040412241
SRO;8.4;167.5;260.0;4.8;2900.0;3450.0;9.113031932254888
FRN;14.0;96.5;300.0;3.2;3000.0;3720.0;8.423715285541508
FRN;160.0;8.7;760.0;0.74;3370.0;14590.0;37.707212881904866
RD;200.0;7.0;700.0;0.6;1160.0;5600.0;24.225448847259635
FRV;56.0;24.7;1730.0;4.8;8360.0;8820.0;67.9448685254274
FRN;28.0;48.4;540.0;2.9;1610.0;5550.0;19.398038630843367
FRO;25.0;53.7;310.0;1.9;3000.0;3930.0;10.067279224407134
FRN;22.4;61.8;310.0;2.1;3000.0;3800.0;7.8477676310854925
FRO;71.0;19.1;3250.0;6.9;8360.0;11430.0;119.7429691290377
RD;4.5;293.0;211.0;7.0;890.0;2400.0;12.446932070291336
FRO;200.0;7.34;750.0;0.61;5790.0;14830.0;37.66151343876331
SRO;26.4;53.0;330.0;1.9;3000.0;5450.0;10.85835946662721
FRV;31.5;43.1;890.0;4.3;5790.0;9390.0;38.169103257484245
RD;10.0;141.0;1180.0;18.1;1700.0;5500.0;47.25468298073642
SRO;21.3;65.6;500.0;3.6;5680.0;7550.0;19.232803412315363
FRO;50.0;27.3;980.0;3.0;5780.0;9720.0;41.07868688022077
FRN;140.0;9.78;3400.0;3.7;4160.0;7800.0;114.06027374945143
FRO;14.0;102.7;1050.0;12.0;8110.0;10340.0;64.41118318881547
FRO;45.0;30.7;570.0;2.0;5740.0;5580.0;16.713630149712937
RD;63.0;23.0;52.0;0.14;208.0;1200.0;3.4205749441734064
SRO;47.2;29.7;330.0;1.1;3000.0;6400.0;10.689147469138472
RD;250.0;5.5;36.0;0.02;376.0;1420.0;3.473420227531893
RD;20.0;70.0;90.0;0.71;55.0;1900.0;5.454788312655925
FRO;90.0;15.4;310.0;0.53;3000.0;5100.0;10.061844063634126
SRO;45.1;31.1;500.0;1.7;5740.0;9800.0;19.217627603753414
RD;9.0;147.0;54.0;0.89;140.0;770.0;3.173596008899036
RD;125.0;11.0;52.0;0.07;312.0;1200.0;3.4108847359022043
FRO;16.0;92.5;165.0;1.7;1600.0;3550.0;7.63823697678847
SRO;54.7;25.6;150.0;0.4;1610.0;5750.0;5.661788382202765
RD;80.0;18.0;1300.0;2.6;1610.0;7900.0;44.39310519603988
FRV;71.0;19.0;170.0;0.36;1610.0;4000.0;5.299706299910422
RD;5.6;247.0;102.0;2.8;40.0;1760.0;6.57737657573735
FRN;60.0;22.3;120.0;0.29;1470.0;5400.0;4.300720439478706
SRO;5.2;270.5;105.0;3.2;1200.0;1700.0;4.059917713767252
FRO;80.0;17.0;310.0;0.59;3000.0;5100.0;10.079756775130452
FRO;9.0;153.0;130.0;2.2;1580.0;3740.0;8.317229227856966
FRO;20.0;73.1;170.0;1.4;1610.0;3670.0;7.524444412453544
RD;50.0;30.0;420.0;1.33;350.0;4100.0;15.579383809145734
RD;50.0;30.0;52.0;0.18;149.0;1200.0;3.609738121331276
RD;31.5;42.0;2220.0;10.0;2850.0;13700.0;80.30798521882923
RD;9.0;151.0;83.0;1.4;40.0;2040.0;5.4787754541148495
FRO;18.0;78.4;1950.0;17.0;7880.0;15380.0;116.71701796759783
